N,K,Agg,ITI,cv
2,0,0,0.451006640865803,0.0596721305979709
2,0,0,0.471443628772264,0.0976094411149352
2,0,1,0.451,0.0847146839759639
2,4,0,0.483610053736227,0.0988768736611821
2,4,0,0.485349330614118,0.0433681225317024
2,4,1,0.483606557377049,0.0552779942688577
2,0,0,0.502202046417317,0.0639700717689269
2,0,0,0.48184751719847,0.0948238260339294
2,0,1,0.482983606557377,0.082388231060671
2,4,0,0.510308560763533,0.137327052021808
2,4,0,0.50941998216797,0.0660206628844717
2,4,1,0.510034482758621,0.0779551016153992
2,0,0,0.556984135296345,0.0542891724498064
2,0,0,0.444661084310715,0.0516621167876757
2,0,1,0.446242424242424,0.104990042729314
2,4,0,0.503946375347955,0.101922079521535
2,4,0,0.502141241298105,0.0686929408798061
2,4,1,0.502881355932203,0.0953992830285066
2,0,0,0.563425129575035,0.117773907496519
2,0,0,0.465125193076705,0.0698646852349834
2,0,1,0.465111111111111,0.140935247572587
2,4,0,0.525699603298802,0.0810939024934824
2,4,0,0.526364618773506,0.0767625861897786
2,4,1,0.526357142857143,0.0948836148750933
2,0,0,0.470918335107286,0.0546225933673083
2,0,0,0.47144906677451,0.0997039036010022
2,0,1,0.470920634920635,0.0660978648479337
2,4,0,0.49091404348017,0.0962738380978758
2,4,0,0.490119358628903,0.0886562262565339
2,4,1,0.490266666666667,0.0672100457353179
2,0,0,0.586293546423517,0.163510652039993
2,0,0,0.533401621560052,0.114957019372653
2,0,1,0.543090909090909,0.18162336327442
2,4,0,0.586481340189231,0.146482107508155
2,4,0,0.554588015726235,0.190283836506146
2,4,1,0.58816,0.123095871278799
2,0,0,0.468018269278572,0.108417715410665
2,0,0,0.515927578054703,0.158482747178912
2,0,1,0.466761904761905,0.144181637933439
2,4,0,0.520086796857312,0.123114623245298
2,4,0,0.520575940252798,0.0920231909544627
2,4,1,0.520561403508772,0.112505272011758
2,0,0,0.537104633333003,0.171001480526662
2,0,0,0.472079776237935,0.0574000729745509
2,0,1,0.468539682539683,0.138532727716453
2,4,0,0.538307217560439,0.127851524439708
