N,K,Agg,ITI,cv
2,0,0,0.644544973977917,0.143455286826083
2,0,0,0.8000800080008,0.173958865804161
2,0,1,0.60742270546073,0.336435658220926
2,0,0,0.416359627594559,0.136515411791938
2,0,0,0.514921958517095,0.14061816110439
2,0,1,0.498642829107031,0.211211832847775
2,0,0,0.481159227033814,0.14082667992116
2,0,0,0.350706448736746,0.116761912730447
2,0,1,0.47161114215687,0.173207342043004
2,0,0,0.748256643846203,0.216007839410543
2,0,0,0.547307478000547,0.137095390040252
2,0,1,0.559606522449998,0.318064118493516
2,0,0,0.616334925418008,0.15745644838893
2,0,0,0.76658828673565,0.180372079336775
2,0,1,0.609079312839259,0.310256094311359
2,0,0,0.437664911865636,0.139072144808218
2,0,0,0.541738956504346,0.159390816588688
2,0,1,0.52861669145638,0.191999457747854
2,0,0,0.443228179320174,0.140458899383057
2,0,0,0.323485117241366,0.114803147891381
2,0,1,0.440577391072441,0.176701769874914
2,0,0,0.513781948143001,0.144203349828541
2,0,0,0.52457877366684,0.148681760825525
2,0,1,0.534677123626341,0.232942196235238
2,0,0,0.458479027626265,0.150753328696517
2,0,0,0.463069562770231,0.133586310785408
2,0,1,0.48062777292222,0.198493919130628
2,0,0,0.435043504350435,0.141538064287
2,0,0,0.504029994836218,0.135970715546206
2,0,1,0.50581588771122,0.194076175431615
2,0,0,0.556256742992735,0.156298308003373
2,0,0,0.373834375918795,0.128149311383176
2,0,1,0.489753408838421,0.218758062865599
2,0,0,0.558191412361575,0.154083755405154
2,0,0,0.434628615699998,0.135008424506065
2,0,1,0.519737837658111,0.219387324543635
2,0,0,0.51005100510051,0.15262363826775
2,0,0,0.872034106065474,0.213596866920581
2,0,1,0.57656928483546,0.338377279788912
2,0,0,0.429177116845884,0.115253249458692
2,0,0,0.383436027000383,0.125991872131699
2,0,1,0.43473645610175,0.171397011221299
2,0,0,0.560564531029374,0.146729634393915
2,0,0,0.527286771230315,0.154260196200515
2,0,1,0.559100853905615,0.236479961064617
2,0,0,0.50131275753838,0.159520017501694
2,0,0,0.399959674682328,0.125768848864195
2,0,1,0.484097190206826,0.180376711082947
2,0,0,0.43296906109825,0.130928664698165
2,0,0,0.430172887418612,0.131129936322813
2,0,1,0.461394976706973,0.191164275676555
2,0,0,0.400361321272689,0.126299404488004
2,0,0,0.433711493420084,0.130470505488709
2,0,1,0.442799835539109,0.173845084085251
2,0,0,0.801706186878851,0.183550289921071
2,0,0,0.835846296494056,0.189304152022241
2,0,1,0.657465746574657,0.362142257313714
2,0,0,0.399035887524495,0.126786330909265
2,0,0,0.614781975091919,0.135373802885426
2,0,1,0.531390037399462,0.242726541007528
2,0,0,0.792479247924792,0.16291470777942
2,0,0,0.56948551998057,0.15263019397305
2,0,1,0.589348875715974,0.325804344236207
2,0,0,0.400120657227013,0.121724519056731
2,0,0,0.45640508751336,0.135802174224792
2,0,1,0.458471773103236,0.1788979972762
2,0,0,0.573005277406353,0.141655968117064
2,0,0,0.380727727945208,0.124480840284176
2,0,1,0.508153379440508,0.216749708843885
2,0,0,0.531069149695718,0.143159878707547
2,0,0,0.324542258147383,0.118073623898873
2,0,1,0.496199619961996,0.21150220689006
2,0,0,0.59227479634191,0.147990859746274
2,0,0,0.436052377167541,0.138724539344836
2,0,1,0.504517456821824,0.247436863724692
2,0,0,0.842733846034176,0.178869902743783
2,0,0,0.337516744871766,0.115805442942216
2,0,1,0.436651594674886,0.317338940227361
2,0,0,0.972374465169289,0.256051799459513
2,0,0,0.514766502556992,0.146022307241789
2,0,1,0.537026675640537,0.293707552903014
2,0,0,0.831091512512596,0.175696830936868
2,0,0,0.453972337873057,0.127063708967631
2,0,1,0.558426629179772,0.317958127489773
2,0,0,0.533261882337966,0.135356857532115
2,0,0,0.771795929592959,0.180310195152372
2,0,1,0.573045810328159,0.32196544145938
2,0,0,0.447174762319281,0.135406243657936
2,0,0,0.548397381174581,0.151297035136431
2,0,1,0.527301407389416,0.210673181435713
2,0,0,0.703190886464533,0.165179548669232
2,0,0,0.385038503850385,0.12517145713353
2,0,1,0.492029400959898,0.298338102627464
2,0,0,0.427154784443962,0.131866521702227
2,0,0,0.432304099975215,0.127723738462181
2,0,1,0.464532434551866,0.196206312389145
2,0,0,0.400443270133465,0.122635610866489
2,0,0,0.382961373060383,0.124724251052245
2,0,1,0.420126400825737,0.192943032488844
2,0,0,0.374247951110901,0.12582274701854
2,0,0,0.522683847332102,0.159168857425645
2,0,1,0.486764362710781,0.200536573225726
2,0,0,0.408477061697939,0.126243942248204
2,0,0,0.712301445971935,0.175014319054109
2,0,1,0.510514969022675,0.300942964175363
2,0,0,0.574450508634679,0.156769278803617
2,0,0,0.499848979872862,0.133204330555023
2,0,1,0.538749527126626,0.2186171525479
2,0,0,0.388827945294529,0.120418298676359
2,0,0,0.469622433941507,0.141158719549447
2,0,1,0.467370680730045,0.177394452340493
2,0,0,0.482184140744171,0.132138980537977
2,0,0,0.602363266629693,0.156197926794146
2,0,1,0.556572511183703,0.219685026281931
2,0,0,0.44491056248482,0.131468734407597
2,0,0,1.02708187485415,0.20891875212425
2,0,1,0.513144097914946,0.299666714306358
2,0,0,0.465868183062438,0.148744072147979
2,0,0,0.45511400455114,0.140334332574794
2,0,1,0.481255855054104,0.199345723734322
2,0,0,0.448333121600448,0.130585409709209
2,0,0,0.443080022287943,0.134509759350581
2,0,1,0.45962929626296,0.194643141230721
2,0,0,0.439689986697785,0.128897966435464
2,0,0,0.521052105210521,0.135196562172877
2,0,1,0.495049504950495,0.188372029437973
2,0,0,0.450226018076921,0.129869847967991
2,0,0,0.525502285678303,0.149227046865528
2,0,1,0.514973777170463,0.184878028303453
2,0,0,0.407786680307375,0.127626272830309
2,0,0,0.588638745531358,0.174404775453644
2,0,1,0.507550755075508,0.227162645332283
2,0,0,0.458332870324069,0.134679873613842
2,0,0,0.429913681023275,0.126816341344033
2,0,1,0.464953037359811,0.202978188902462
2,0,0,0.457603364023038,0.140871039163893
2,0,0,0.445022080683405,0.130741578039012
2,0,1,0.476970774000477,0.188469277034455
2,0,0,0.472713938060473,0.142780554755246
2,0,0,0.403739560947965,0.132343106245859
2,0,1,0.466149901375114,0.17860765916302
2,0,0,0.708928035660709,0.167604347169139
2,0,0,0.669188540475669,0.154428979295379
2,0,1,0.611233962902463,0.324286196740909
2,0,0,0.630381509488529,0.144128079531942
2,0,0,0.439866995549112,0.13345525964577
2,0,1,0.526488819094675,0.252423271375288
2,0,0,0.354056757988966,0.122888539246255
2,0,0,0.579999520419878,0.145070193152895
2,0,1,0.492375970270294,0.236074990265753
2,0,0,0.850343655055161,0.191469604464839
2,0,0,0.319806900304178,0.110389623463322
2,0,1,0.45415500454155,0.337132282224704
2,0,0,0.429137741360343,0.131949020041596
2,0,0,0.563863204502268,0.144910499402183
2,0,1,0.513247201008761,0.225398750597611
2,0,0,0.401128822559675,0.133860649444253
2,0,0,0.382268996130382,0.122248388015111
2,0,1,0.417772869723947,0.182880566202207
2,0,0,0.478743526526566,0.129214350182054
2,0,0,0.491034325107388,0.151101858852284
2,0,1,0.505989685262943,0.201059178621099
2,0,0,0.602438292609749,0.160960474562229
2,0,0,0.668254744937581,0.180733046496928
2,0,1,0.581286198795318,0.3000088001123
2,0,0,0.428706663769825,0.12076820750693
2,0,0,0.571493931002296,0.15513324634752
2,0,1,0.522683847332102,0.215421098239097
2,0,0,0.525052505250525,0.144102878490227
2,0,0,0.630891114589166,0.154882418236995
2,0,1,0.561078835156243,0.26429952126484
2,0,0,0.610740086354314,0.156440006480431
2,0,0,0.346689721236932,0.115563454919438
2,0,1,0.482815271818444,0.258333225705473
2,0,0,0.549221588825549,0.148569618236085
2,0,0,0.511391345320099,0.133787568302434
2,0,1,0.52760595208457,0.254852515490109
2,0,0,0.523473399971576,0.150502605909361
2,0,0,0.755037335794648,0.180096405543444
2,0,1,0.552610816637219,0.310365173991858
2,0,0,0.507091525479079,0.136660655172358
2,0,0,0.425512636733759,0.131647067565286
2,0,1,0.50989714356051,0.193219082959874
2,0,0,0.409300189278187,0.122057461037295
2,0,0,0.689096687446522,0.162024710653116
2,0,1,0.519580753886907,0.281461297758128
2,0,0,0.542731868815297,0.144953216699146
2,0,0,0.436447153487279,0.131136919259058
